id,title,subject_person,category,sources,fact_check_status,hook,script_status,voiceover_status,assets_status,edit_status,video_title,thumbnail_status,publish_date,youtube_url,views,retention_pct,subscribers_gained,revenue,status,notes
DR-0001,The death that boxing still can't explain,Sonny Liston,mystery,en.wikipedia.org/wiki/Sonny_Liston; thedailybeast.com (mysterious-death-boxings-most-fearsome-fighter); vice.com (requiem-for-a-heavyweight); aetv.com (sonny-liston-death-in-question); themobmuseum.org (sonny-liston-cold-case); wbur.org (murder-of-sonny-liston book),in-progress,Officially an overdose. Almost nobody in boxing believed it.,pending,pending,pending,pending,,pending,,,,,,,research,Tegenstrijdigheid over spuit op plaatsdelict opgelost via 2e verificatieronde (A&E + Wikipedia komen overeen: geen spuit gevonden). AI-check klaar; wacht op menselijk akkoord voordat script wordt geschreven.
DR-0002,The man who secretly ran boxing,Frankie Carbo,organized-crime,,pending,"For a decade, one convicted felon quietly decided who became champion.",pending,pending,pending,pending,,pending,,,,,,,idea,
DR-0003,The night a champion admitted he threw the fight,Jake LaMotta,corruption,,pending,"Years later, in front of Congress, he admitted the loss was arranged.",pending,pending,pending,pending,,pending,,,,,,,idea,
DR-0004,The gloves that ended two careers,Luis Resto; Billy Collins Jr.; Panama Lewis,corruption,,pending,One man's gloves were tampered with. The other man never fought again.,pending,pending,pending,pending,,pending,,,,,,,idea,
DR-0005,Fourteen rounds too many,Duk-koo Kim; Ray Mancini,tragedy,,pending,The fight that changed how many rounds a title bout is allowed to last.,pending,pending,pending,pending,,pending,,,,,,,idea,
DR-0006,"The fight that became a slur, then a death",Benny Paret; Emile Griffith,tragedy,,pending,What was said before the fight may have decided how it ended.,pending,pending,pending,pending,,pending,,,,,,,idea,
DR-0007,"Convicted twice, exonerated after nineteen years",Rubin Carter,court-case,,pending,A world-ranked contender spent almost two decades in prison for a crime he said he didn't commit.,pending,pending,pending,pending,,pending,,,,,,,idea,
DR-0008,The heavyweight who wasn't really winning,Primo Carnera,historical-scandal,,pending,He became world champion. Most of his opponents may not have been trying to win.,pending,pending,pending,pending,,pending,,,,,,,idea,
DR-0009,A death in Brazil nobody fully explained,Arturo Gatti,mystery,,pending,Ruled a suicide. His family never accepted the ruling.,pending,pending,pending,pending,,pending,,,,,,,idea,
DR-0010,"The champion who killed his wife, then himself",Edwin Valero,tragedy,,pending,"Months earlier, boxing had already been warned something was wrong.",pending,pending,pending,pending,,pending,,,,,,,idea,
DR-0011,"Shot dead at a gas station, days after a title fight",Vernon Forrest,tragedy,,pending,He stopped to help a stranger. It cost him his life.,pending,pending,pending,pending,,pending,,,,,,,idea,
DR-0012,The rematch nobody agrees on,Muhammad Ali; Sonny Liston,controversy,,pending,One punch. A fight that lasted seconds. Decades of arguing about whether it was real.,pending,pending,pending,pending,,pending,,,,,,,idea,
